,dates,candidates_scores,health_scores,immigration_scores,jobs-race_scores,environment_scores,guns_scores,party_scores,economy_scores,winner
0,2008-08-04,2.25,2.0,1.3333333333333333,2.0,1.8333333333333333,2.0,1.6428571428571428,1.8846153846153846,0
1,2008-08-05,1.9090909090909092,2.8,2.0,3.0,1.8,2.0,2.0,1.9523809523809523,0
2,2008-08-06,1.8571428571428572,2.0,2.142857142857143,1.3333333333333333,2.0,2.0,1.9545454545454546,2.0,0
3,2008-08-07,2.0,1.3333333333333333,2.0,2.2,1.8333333333333333,1.9166666666666667,1.8461538461538463,1.6538461538461537,0
4,2008-08-08,2.090909090909091,2.0,1.7142857142857142,2.25,1.7692307692307692,2.0,2.0,1.75,0
5,2008-08-09,2.0,1.6666666666666667,1.3333333333333333,2.0,1.8,1.6666666666666667,1.75,2.0,0
6,2008-08-10,1.0,,2.0,3.0,2.0,2.25,2.142857142857143,1.75,0
7,2008-08-11,2.25,1.6666666666666667,1.6,2.0,1.75,1.625,1.9333333333333333,1.8846153846153846,0
8,2008-08-12,2.0,2.0,2.0,1.6666666666666667,2.111111111111111,2.142857142857143,1.7777777777777777,1.9230769230769231,0
9,2008-08-13,2.0,2.0,,2.3333333333333335,1.8571428571428572,2.0,1.8181818181818181,2.048780487804878,0
10,2008-08-14,2.1,1.75,1.5,2.2,1.875,2.0,2.0625,2.0606060606060606,0
11,2008-08-15,1.875,2.0,1.3333333333333333,1.875,2.090909090909091,2.2,2.111111111111111,2.210526315789474,0
12,2008-08-16,2.0,2.0,1.6666666666666667,1.75,1.5,2.2,2.0,2.2,0
13,2008-08-17,1.8333333333333333,,2.0,1.0,1.6666666666666667,2.2,1.75,1.9,0
14,2008-08-18,2.0,2.0,1.6666666666666667,1.6666666666666667,2.2,1.6666666666666667,2.076923076923077,1.7391304347826086,0
15,2008-08-19,2.3333333333333335,2.0,1.6666666666666667,2.6,1.8888888888888888,2.0,1.8333333333333333,2.0,0
16,2008-08-20,2.0,,1.5,2.3333333333333335,2.0,1.5,1.8125,1.96875,0
17,2008-08-21,2.0,2.5,2.0,1.7142857142857142,1.9166666666666667,1.8888888888888888,1.894736842105263,1.826086956521739,0
18,2008-08-22,2.1818181818181817,2.0,2.0,2.0,1.8888888888888888,2.1666666666666665,1.9615384615384615,1.8,0
19,2008-08-23,2.0,2.0,1.75,2.0,2.3333333333333335,1.7,2.0,1.875,0
20,2008-08-24,2.2857142857142856,1.5,2.0,2.0,,2.0,1.7,1.5555555555555556,0
21,2008-08-25,1.7857142857142858,1.3333333333333333,2.4,2.25,2.142857142857143,2.0,1.9090909090909092,2.0,0
22,2008-08-26,1.9375,,2.5,1.25,1.875,1.6666666666666667,1.8461538461538463,1.90625,0
23,2008-08-27,1.8823529411764706,2.0,2.25,2.0,1.8,1.9,2.107142857142857,2.0277777777777777,0
24,2008-08-28,2.210526315789474,2.0,1.8571428571428572,1.8571428571428572,2.0,1.8571428571428572,1.951219512195122,1.9696969696969697,0
25,2008-08-29,2.1052631578947367,,2.0,2.1666666666666665,2.0,2.1666666666666665,2.0,1.92,0
26,2008-08-30,1.5,2.0,2.0,2.0,2.142857142857143,2.0,2.0,1.72,0
27,2008-08-31,2.0,,1.75,2.0,2.2,2.0,2.090909090909091,1.9230769230769231,0
28,2008-09-01,1.7272727272727273,1.5,2.0,2.2,2.0,1.8888888888888888,1.8125,1.935483870967742,0
29,2008-09-02,1.9285714285714286,2.0,2.0,1.7142857142857142,2.0,2.0,1.8064516129032258,1.8837209302325582,0
30,2008-09-03,1.9333333333333333,1.5,1.5,1.3333333333333333,1.7,1.8461538461538463,2.1219512195121952,1.7894736842105263,0
31,2008-09-04,2.1538461538461537,2.0,2.0,1.8888888888888888,2.0,2.2,2.121212121212121,1.8888888888888888,0
32,2008-09-05,1.793103448275862,1.0,2.0,1.8888888888888888,1.5,2.1818181818181817,1.875,1.9722222222222223,0
33,2008-09-06,2.0,,2.0,1.6666666666666667,2.2,1.8,2.125,1.9333333333333333,0
34,2008-09-07,3.0,2.0,1.6,2.0,1.6666666666666667,2.3333333333333335,2.5,2.076923076923077,0
35,2008-09-08,1.7272727272727273,1.75,2.0,2.0,2.0,1.7272727272727273,1.96,1.8852459016393444,0
36,2008-09-09,1.8,2.0,2.0,1.8333333333333333,2.142857142857143,2.3,1.8888888888888888,2.0294117647058822,0
37,2008-09-10,1.4615384615384615,1.8888888888888888,2.0,2.0,1.7857142857142858,1.5,1.894736842105263,1.8928571428571428,0
38,2008-09-11,2.0,3.0,2.0,2.0,2.0,1.5714285714285714,1.9166666666666667,2.0,0
39,2008-09-12,2.2222222222222223,2.0,1.5,1.75,1.8571428571428572,2.0,2.0,2.1142857142857143,0
40,2008-09-13,2.0,2.2,1.75,2.0,2.0,1.9,2.125,2.0,0
41,2008-09-14,2.0,2.0,2.0,1.8333333333333333,1.75,2.3333333333333335,2.2,1.8888888888888888,0
42,2008-09-15,1.9,3.0,2.0,1.8,1.8333333333333333,2.1,1.8333333333333333,1.7454545454545454,0
43,2008-09-16,2.176470588235294,2.0,2.0,2.5,1.7142857142857142,2.1666666666666665,2.09375,1.9090909090909092,0
44,2008-09-17,1.9230769230769231,2.0,2.0,1.7777777777777777,1.8636363636363635,1.8181818181818181,1.736842105263158,1.7346938775510203,0
45,2008-09-18,2.1,3.0,3.0,2.2857142857142856,1.625,2.4285714285714284,1.9545454545454546,1.9787234042553192,0
46,2008-09-19,2.0,2.0,2.0,1.5,1.9,2.0,2.037037037037037,2.0377358490566038,0
47,2008-09-20,2.0,,2.0,2.0,1.6666666666666667,2.0,1.9473684210526316,1.9444444444444444,0
48,2008-09-22,2.1,1.0,1.6,2.0,2.125,1.75,1.8333333333333333,1.878787878787879,0
49,2008-09-23,2.1333333333333333,2.0,2.0,2.0,2.2222222222222223,1.588235294117647,1.8888888888888888,1.8644067796610169,0
50,2008-09-24,1.9090909090909092,2.0,2.0,2.25,1.8333333333333333,1.9333333333333333,1.9545454545454546,1.8979591836734695,0
