created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Mon Jun 29 22:33:56 +0000 2020,"In Joe Biden's America, Republicans won't be allowed to screw over Americans with pre-existing conditions and let t… https://t.co/vlmSv7zuvt",1277732059671388162,822847432899891200,Midwest USA,877,,,0,0,1
Mon Jun 29 22:33:15 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277731886333415425,1154108709297147904,United Kingdom,832,,,0,0,1
Mon Jun 29 22:33:03 +0000 2020,@JoeBiden 2 things stand out abt this tweet besides”White Privilege”being a manufactured term 2 B used as a racial… https://t.co/49zJuY8VfC,1277731835586523136,310524254,Underground Military Bunker,6653,,,0,0,1
Mon Jun 29 22:32:25 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277731676723052546,1268796283684347905,,5,,,0,0,1
Mon Jun 29 22:32:21 +0000 2020,"RT @TrumpWarRoom: @realDonaldTrump @foxandfriends Joe Biden says American taxpayers ""have to"" give free health care to illegal aliens ""no m…",1277731658423308288,448323541,             ❌TEXAS❌,6821,,,0,0,2
Mon Jun 29 22:32:13 +0000 2020,RT @RevDrBarber: We don’t agree w/ Biden that the answer is not healthcare for all &amp; using the experience in Italy to argue against Medicar…,1277731627158904838,1976696264,"Wharton, TX",721,,,0,0,2
Mon Jun 29 22:31:29 +0000 2020,"RT @JoeBiden: If Donald Trump prevails in the U.S. Supreme Court, insurers could strip away your health insurance coverage or jack up premi…",1277731443792379905,1113159183946452993,,167,,,0,0,2
Mon Jun 29 22:31:21 +0000 2020,RT @RevDrBarber: We don’t agree w/ Biden that the answer is not healthcare for all &amp; using the experience in Italy to argue against Medicar…,1277731409923194880,1261878255616847874,,2,,,0,0,2
Mon Jun 29 22:30:40 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277731238275579907,52190807,TEXAS,14289,,,0,0,1
Mon Jun 29 22:29:07 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277730844723953664,331728316,Arizona Desert,49,,,0,0,1
Mon Jun 29 22:28:43 +0000 2020,Look at this news article from The Daily Caller: 20 Percent Of Likely Democratic Voters Believe Biden Is Suffering… https://t.co/yViLurzxb2,1277730745776209921,18512153,"Paradise (Naples, Florida)",1305,,,0,0,1
Mon Jun 29 22:28:41 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277730736343310342,759190258726662145,NOT in NY or Ca !!,4290,,,0,0,1
Mon Jun 29 22:28:18 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277730642311118857,990263306224009218,"La Crescent, MN",23,,,0,0,1
Mon Jun 29 22:27:25 +0000 2020,RT @RevDrBarber: We don’t agree w/ Biden that the answer is not healthcare for all &amp; using the experience in Italy to argue against Medicar…,1277730416372244480,1192582652223557632,,146,,,0,0,2
Mon Jun 29 22:27:22 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277730407564353537,1231991495693127680,,35,,,0,0,1
Mon Jun 29 22:27:17 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277730383769899008,2687980638,"California, USA",2007,,,0,0,1
Mon Jun 29 22:26:49 +0000 2020,RT @RevDrBarber: We don’t agree w/ Biden that the answer is not healthcare for all &amp; using the experience in Italy to argue against Medicar…,1277730265763180544,109432452,SEA,407,,,0,0,2
Mon Jun 29 22:26:14 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277730122641145857,1231991495693127680,,35,,,0,0,1
Mon Jun 29 22:25:21 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277729899428495360,37355463,"Colorado, by way of FL and CA",3242,,,0,0,1
Mon Jun 29 22:25:07 +0000 2020,"Biden on health care for undocumented migrants: How do you say, 'I'm gonna let you die' https://t.co/1QuHcHiEiT",1277729840884416518,760732579528073216,,108,,,0,0,1
Mon Jun 29 22:24:51 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277729770579656704,851610452052389889,United States,73,,,0,0,1
Mon Jun 29 22:23:48 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277729509610004481,211990186,LEE'S SUMMIT MO,16355,,,0,0,1
Mon Jun 29 22:23:35 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277729452726894597,1309013910,"West Caldwell, NJ",426,,,0,0,1
Mon Jun 29 22:23:23 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277729403108315139,1083024693920182273,,2012,,,0,0,1
Mon Jun 29 22:23:19 +0000 2020,"86% of voters think a candidates health is important

38% of Voters Think Biden Has Dementia https://t.co/70E55XTSKB",1277729385727000576,21613703,London UK,2257,,,0,0,3
Mon Jun 29 22:23:06 +0000 2020,"RT @NSchulte25: @ProjectLincoln I dont particularly like Biden, and I do have questions about his health. And the idea of what Dems control…",1277729330962071552,1245810451344175110,,2,,,0,0,2
Mon Jun 29 22:22:22 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277729147809402882,1083467443647979521,,227,,,0,0,1
Mon Jun 29 22:22:09 +0000 2020,@Alyssa_Milano Wow again! Guess all the protesting and rioting didn't cause a public health threat?! Amazing how it… https://t.co/bS2d8kh0vX,1277729093031772161,56194711,,1,,,0,0,3
Mon Jun 29 22:21:46 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277728994700468225,1083467443647979521,,227,,,0,0,1
Mon Jun 29 22:21:42 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277728977784692736,1140593125,,9072,,,0,0,1
Mon Jun 29 22:21:36 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277728952791031808,22216885,Ma.,712,,,0,0,1
Mon Jun 29 22:21:31 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277728932763230210,22216885,Ma.,712,,,0,0,1
Mon Jun 29 22:20:16 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277728618269925377,1051565391275675648,,252,,,0,0,1
Mon Jun 29 22:20:07 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277728582568157184,22040128,,359,,,0,0,1
Mon Jun 29 22:19:59 +0000 2020,RT @RevDrBarber: We don’t agree w/ Biden that the answer is not healthcare for all &amp; using the experience in Italy to argue against Medicar…,1277728546207784962,2686118738,,14,,,0,0,2
Mon Jun 29 22:19:35 +0000 2020,"RT @TrumpWarRoom: Biden is holding a fundraiser tonight with radical open borders activist Julian Castro.

They’re teaming up to give free…",1277728446140071936,3687806419,"Pennsylvania, USA",980,,,0,0,1
Mon Jun 29 22:19:20 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277728383284240385,1254808231186178048,"Kentucky, USA",53,,,0,0,1
Mon Jun 29 22:19:17 +0000 2020,"RT @TrumpWarRoom: Joe Biden thinks Americans should be forced to pay for free health care for illegal immigrants. 

He wants to raise your…",1277728373381480450,722561640,"Watchung, NJ",2519,,,0,0,1
Mon Jun 29 22:19:09 +0000 2020,"RT @Sherryb54671978: Biden says he would veto Medicare for All, citing price tag https://t.co/UIapcglXSk",1277728336236642306,433494674,Aetherius,600,,,0,0,2
Mon Jun 29 22:19:08 +0000 2020,@laurenboebert @JoeBiden @laurenboebert that comment shows a complete lack of imagination and is ignorant as well.… https://t.co/ZdmFq1nD7n,1277728331887247362,1262423376892768260,,174,,,0,0,1
