headline,date,score
coronavirus us live: trump rails against media and gun control in combative briefing – as it happened,2020-04-18,1
trump to pull us out of third arms control deal,2020-05-21,2
fumbling the nuclear football: is trump blundering to arms control chaos?,2020-05-24,2
rayshard brooks shooting: trump says police not being treated fairly,2020-06-18,1
