headline,date,score
joe biden takes presidential campaign online amid virus lockdown,2020-04-17,2
trump campaign focuses fire on biden as pandemic undermines strategy,2020-05-15,1
campaign wars: trump rallies base while biden tries to broaden his,2020-05-20,2
'feels good to be out of my house': biden lays memorial day wreath in delaware,2020-05-25,3
trump hankers for roar of the crowd while biden takes campaign virtual,2020-06-04,2
