headline,date,score
trump says he will impose immigration ban in bid to tackle coronavirus,2020-04-21,2
first thing: trump resorts to familiar plan to fight covid-19 – ban immigration,2020-04-21,2
coronavirus us live: trump says he will suspend immigration for 60 days – as it happened,2020-04-22,3
coronavirus us live: trump says he's signed order restricting immigration - as it happened,2020-04-23,2
supreme court blocks trump from cancelling daca immigration program – as it happened,2020-06-19,2
