headline,date,score
"coronavirus us live: trump says us will stop funding world health organization, then backtracks – as it happened",2020-04-08,3
trump halts funding to world health organization – as it happened,2020-04-15,2
where is the cdc? how trump sidelined the public health agency in a pandemic,2020-05-14,2
trump administration reverses health protections for transgender people,2020-06-12,2
trump claims 1m want tickets for tulsa rally opposed by top health official,2020-06-15,2
how trump and his public health officials diverge on covid-19,2020-06-25,2
covid-19 survivors could lose health insurance if trump wins bid to repeal obamacare,2020-06-27,2
