,created_at,text,user_followers_count,retweet_count,favorite_count,hashtags
161,2016-12-29,RT @Alhamdhulillaah: May Allah make this day beautiful for you https://t.co/WYEoLQDF1v,635,0,0,[]
172,2016-12-29,#SUSU Gallery Gadis Bugil https://t.co/o9GvWVOuQy,2316,0,0,"[{'text': 'SUSU', 'indices': [0, 5]}]"
175,2016-12-29,"RT @chrislhayes: Thank you, Donald? https://t.co/zMlyhA9psf",2,0,0,[]
178,2016-12-29,"New Years Eve traditions,  trends slideshow #2017 #NYE https://t.co/CFdb9PIVcD",353,0,0,"[{'text': 'NYE', 'indices': [50, 54]}]"
179,2016-12-29,#porn #sex #boobs https://t.co/8mmBNPk8DD,72,0,0,"[{'text': 'porn', 'indices': [0, 5]}, {'text': 'sex', 'indices': [6, 10]}, {'text': 'boobs', 'indices': [11, 17]}]"
180,2016-12-29,How To Get PAID For Your Music With PROs -&gt; https://t.co/O7wXuzuDrX https://t.co/GR7FkLy3Wy,12609,0,0,[]
181,2016-12-29,RT @b_ngwekazi: #2017WontFindMe putting other people's feelings first!!,383,0,0,"[{'text': '2017WontFindMe', 'indices': [16, 31]}]"
191,2016-12-29,"Goo gayl
Total Performer Inigo Pascual",122,0,0,[]
193,2016-12-29,@boyscouts /MEN WAIT TO MARRY-SEXIST DISCRIMINATION CHILD SUPPORT IN @PureMichigan @MissouriDSS @onetoughnerd @3rdccorg @MoGov @GovJayNixon,116,0,0,[]
194,2016-12-29,"IndosatCare: cp_a2 Hai kak, saat ini sedang dibantu follow up. Mohon tunggu konformasinya. Thx ^Emma",19,0,0,[]
204,2016-12-29,Wow..RIP Tony Hawk,1010,0,0,[]
207,2016-12-29,RT @Meech_on_mars: I'm convinced niggas never settle down,1185,0,0,[]
210,2016-12-29,#TeamBTS 478,640,0,0,"[{'text': 'TeamBTS', 'indices': [0, 8]}]"
211,2016-12-29,naked female weightlifters #anal mutilation https://t.co/zoUrtSIaV8,0,0,0,"[{'text': 'anal', 'indices': [27, 32]}]"
214,2016-12-29,Minna Hotel offers a European-style setup of 73 private guest rooms in #SanFrancisco. https://t.co/AUONXfuKJV,19,0,0,"[{'text': 'SanFrancisco', 'indices': [71, 84]}]"
215,2016-12-29,RT @legendyIan: if someone asks me what kind of person dylan is ill legit just some them this https://t.co/amgzwOO5ha,736,0,0,[]
217,2016-12-29,50 #TeamGOT7,11,0,0,"[{'text': 'TeamGOT7', 'indices': [3, 12]}]"
218,2016-12-29,"RT @WINTEROMANOGERS: but also the way christopher looks at seb though,,,honestly SAME. https://t.co/SKsNjrzxis",3859,0,0,[]
242,2016-12-29,Manbound Breathable Ball Gag Red Black https://t.co/A8dHCgpZ6V  #erotic #sextoys #babes https://t.co/F5R5ZAalsH,71,0,0,"[{'text': 'erotic', 'indices': [64, 71]}, {'text': 'sextoys', 'indices': [72, 80]}, {'text': 'babes', 'indices': [81, 87]}]"
244,2016-12-29,Check out this loser #PS4share https://t.co/aWzdebkvWY,22,0,0,"[{'text': 'PS4share', 'indices': [21, 30]}]"
248,2016-12-29,"RT @Arsepics: Lovely picture, this. https://t.co/c8XQXvrxjs",212,0,0,[]
249,2016-12-29,Do you know how to write a useful online product review? Tap into these Insights: https://t.co/x33Z0Ih4W7,18085,0,0,[]
254,2016-12-29,RT @LeahSaysViews: Good Clean Humor Tees @goodie2sleeves #win #ad @LeahSaysViews https://t.co/CoQVpemHPQ https://t.co/hCCgh6P1xT,41355,0,0,"[{'text': 'win', 'indices': [57, 61]}, {'text': 'ad', 'indices': [62, 65]}]"
255,2016-12-29,RT @CrowdFundGurus: Help make it happen for The HELPER! #mobile #apps on @indiegogo https://t.co/pYFLMKkZuz https://t.co/SVfa00y62E,50,0,0,"[{'text': 'mobile', 'indices': [56, 63]}, {'text': 'apps', 'indices': [64, 69]}]"
256,2016-12-29,RT @CrowdFundGurus: Help make it happen for The HELPER! #mobile #apps on @indiegogo https://t.co/pYFLMKkZuz https://t.co/SVfa00y62E,51,0,0,"[{'text': 'mobile', 'indices': [56, 63]}, {'text': 'apps', 'indices': [64, 69]}]"
270,2016-12-29,RT @CrowdFundGurus: Help make it happen for The HELPER! #mobile #apps on @indiegogo https://t.co/pYFLMKkZuz https://t.co/SVfa00y62E,84,0,0,"[{'text': 'mobile', 'indices': [56, 63]}, {'text': 'apps', 'indices': [64, 69]}]"
